Alloy;No;S_Phase;Phase;a (Å);δ;T_m (K);σT_m (K);ΔH_mix (kJ/mol);σH_mix (kJ/mol);S_id (R);χ;Δχ;VEC;σVEC;Bulk Modulus (GPa);σBulk (GPa);Young's modulus E (GPa);Shear modulus G (GPa);Ag;Al;As;Au;B;Ba;Be;Bi;Br;C;Ca;Cd;Ce;Cl;Co;Cr;Cs;Cu;Dy;Er;Eu;F;Fe;Ga;Gd;Ge;H;Hf;Hg;Ho;I;In;Ir;K;La;Li;Lu;Mg;Mn;Mo;N;Na;Nb;Nd;Ne;Ni;Ns;O;Os;P;Pb;Pd;Pr;Pt;Rb;Re;Rh;Ru;S;Sb;Sc;Se;Si;Sm;Sn;Sr;Ta;Tb;Te;Ti;Tl;Tm;V;W;Y;Yb;Zn;Zr
Ag2Al;2;IM;IM;1,4407;0,004254;1134,4433;142,1096;-3,5556;0,2095;0,6365;1,8233;0,1508;8,3333;3,77124;92,0000;11,3137;80,0000;28,6667;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag5Cd8;2;IM;IM;1,5207;0,039351;840,6469;311,7081;-1,8935;0,0518;0,6663;1,7823;0,1168;11,6154;0,48650;64,3077;28,2172;63,4615;23,2308;5;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag2Ga3;2;IM;IM;1,4132;0,018373;675,7180;456,5947;-4,8000;0,0980;0,6730;1,8580;0,0588;6,2000;3,91918;40,0000;48,9898;34,0000;12,0000;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag3Ga;2;IM;IM;1,4318;0,016029;1001,9250;403,5765;-3,7500;0,5413;0,5623;1,9000;0,0520;9,0000;3,46410;75,0000;43,3013;63,7500;22,5000;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AgMg3;2;IM;IM;1,5620;0,043246;1000,9825;135,0697;-7,5000;1,0825;0,5623;1,4650;0,2685;4,2500;3,89711;58,7500;23,8157;55,0000;20,2500;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AgPt3;2;IM;IM;1,4015;0,017920;1839,7825;349,2118;-0,7500;0,1083;0,5623;2,1925;0,1516;10,2500;0,43301;197,5000;56,2917;147,2500;53,2500;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag3Sb;2;IM;IM;1,4863;0,048072;1152,1425;143,3922;-3,0000;0,4330;0,5623;1,9600;0,0520;9,5000;2,59808;85,5000;25,1147;77,5000;27,5000;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag7Sb;2;IM;IM;1,4656;0,037232;1193,5363;109,5176;-1,7500;0,7441;0,3768;1,9450;0,0397;10,2500;1,98431;92,7500;19,1817;81,2500;28,7500;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag3Sn;2;IM;IM;1,4888;0,050900;1052,4675;316,0343;-2,2500;0,3248;0,5623;1,9375;0,0130;9,2500;3,03109;89,5000;18,1865;76,2500;27,0000;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Ag4Sn;2;IM;IM;1,4800;0,047297;1088,9600;291,9400;-1,9200;0,4320;0,5004;1,9360;0,0120;9,6000;2,80000;91,6000;16,8000;78,0000;27,6000;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
