dHmix,Elect.Diff,VEC,Phase
-8.395061728,0.049615808,4.555555556,BCC
-9.351800554,0.232764906,4.684210526,BCC
-4.041522491,0.243216622,4.882352941,BCC
-4.816608997,0.05017616,4.647058824,BCC
-3.35600907,0.244332586,4.904761905,BCC
-4.86,0.11,4.34,BCC
-4.86,0.11,4.34,BCC
-4.86,0.11,4.34,BCC
-10.96,0.046861498,4.6,BCC
-7.012345679,0.237834884,4.777777778,BCC
-8.015122873,0.235770867,4.739130435,BCC
-13.81818182,0.219190849,4.454545455,BCC
-15.40740741,0.037646832,4.444444444,BCC
-15.40740741,0.037646832,4.444444444,BCC
-15.40740741,0.037646832,4.444444444,BCC + Im
-15.40740741,0.037646832,4.444444444,BCC + Im
-13.6,0.23,4.8,FCC
-13.6,0.23,4.8,FCC
-13.6,0.23,4.8,FCC
-13.6,0.23,4.8,FCC
-13.6,0.23,4.8,FCC
-11.04,0.227982455,4.6,BCC
-2.75,0.265459507,5,BCC
-15.12,0.08,4.2,BCC
-15.12,0.08,4.2,BCC
-15.12,0.08,4.2,BCC
-13.44,0.05,4.4,BCC
0.871231589,0.101210115,4.614770459,BCC
0.871231589,0.101210115,4.614770459,BCC
0.871231589,0.101210115,4.614770459,BCC
0.871231589,0.101210115,4.614770459,BCC
-0.25,0.258988417,4.5,BCC
-0.25,0.258988417,4.5,BCC
2.72,0.118253964,4.4,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
2.36,0.118594899,4.3,BCC
0.98,0.114716771,4.1,BCC
2.467120181,0.189533381,4.476190476,BCC
2.247933884,0.232176194,4.545454545,BCC
-2.188365651,0.165384845,4.394736842,BCC
-2.188365651,0.165384845,4.394736842,BCC
-2.188365651,0.165384845,4.394736842,BCC
2.056710775,0.262094227,4.608695652,BCC
-1.6,0.31,4.6,BCC
-1.6,0.31,4.6,BCC
-1.6,0.31,4.6,BCC
-1.6,0.31,4.6,BCC
2.72,0.12,4.4,BCC
2.72,0.12,4.4,BCC
2.72,0.12,4.4,BCC
2.72,0.12,4.4,BCC
2.72,0.12,4.4,BCC
2.72,0.12,4.4,BCC
2.72,0.12,4.4,BCC
2.72,0.12,4.4,BCC
2.72,0.12,4.4,BCC
2.72,0.12,4.4,BCC
2.72,0.12,4.4,BCC
2.72,0.12,4.4,BCC
2.72,0.12,4.4,BCC
3.5,0.12,4.5,BCC
1.75,0.10401322,4.25,BCC
0.795847751,0.160399857,4.441176471,BCC
-0.277777778,0.213663482,4.527777778,BCC
-1.254732288,0.197323903,4.604651163,BCC
-1.135734072,0.24768806300000001,4.605263158,BCC
-1.777777778,0.228089218,4.666666667,BCC
-1.825,0.271583205,4.675,BCC
-2.209144409,0.250581939,4.723404255,BCC
-3.194706994,0.312228786,4.847826087,BCC
-3.104307583,0.291553089,4.867924528,BCC1 + BCC2
-3.489583333,0.319847986,4.895833333,BCC
-6.14532872,0.363138949,5.411764706,BCC
-2.864197531,0.249121915,5.111111111,BCC
-2.703601108,0.245168267,5.052631579,BCC
-4.5,0.34,5.25,BCC
