id,.metric,mean,std_err
KNN,accuracy,0.7077533466122804,0.011924825593940461
KNN,F1 score,0.6287629166139503,0.018997805749900572
KNN,precision,0.6483358621932704,0.020404326445486773
KNN,recall,0.6282269921090112,0.0196645865746176
KNN,ROC AUC,0.8687953724444295,0.008696626576061833
Multinomial reg,accuracy,0.47931837044035686,0.015875323941108542
Multinomial reg,F1 score,0.42132491884375706,0.014984700966555107
Multinomial reg,precision,0.42008982649833104,0.035246455060624834
Multinomial reg,recall,0.3125893175617151,0.010877369247070313
Multinomial reg,ROC AUC,0.7956642042257612,0.004851147112790356
XGBoost,accuracy,0.7248239178752673,0.011110723121477688
XGBoost,F1 score,0.6638419891368421,0.016120774554286704
XGBoost,precision,0.6738747244618136,0.01422399479567356
XGBoost,recall,0.6638595846434485,0.020217052967294157
XGBoost,ROC AUC,0.9295388848391916,0.0052880553144854575
Random forest,accuracy,0.7283917021985886,0.012607050119288239
Random forest,F1 score,0.6645185378116168,0.016918379804059858
Random forest,precision,0.678474073761431,0.016512690007965545
Random forest,recall,0.6616326564541367,0.020492811241490747
Random forest,ROC AUC,0.9318413273153053,0.004586499768296547
Full Ensemble,accuracy,0.7169438804826143,0.0025610081470740383
Full Ensemble,F1 score,0.6354609588251908,0.005324284257701798
Full Ensemble,precision,0.7053150893637515,0.006409349014807854
Full Ensemble,recall,0.604997843933105,0.003145165321609929
Full Ensemble,ROC AUC,0.8975674131764374,0.001439207624813092
Ensemble of KNN + RF + XGB,accuracy,0.7184629107052395,0.002434259941106224
Ensemble of KNN + RF + XGB,F1 score,0.6382813630812215,0.005329990108174826
Ensemble of KNN + RF + XGB,precision,0.7104350947694642,0.006594363270719309
Ensemble of KNN + RF + XGB,recall,0.6071342198241421,0.0030443834426290197
Ensemble of KNN + RF + XGB,ROC AUC,0.8972211526112853,0.0014104714617543834
Ensemble of KNN + RF,accuracy,0.7219583140811922,0.003249052135447586
Ensemble of KNN + RF,F1 score,0.6347560287376462,0.003662903535905276
Ensemble of KNN + RF,precision,0.6597801658330712,0.005354670422981468
Ensemble of KNN + RF,recall,0.6262990121677154,0.003785220188959969
Ensemble of KNN + RF,ROC AUC,0.9107924317456564,0.0017311655622774132
